Property,property_Code,subproperty,subproperty_code,standard_unit,Classification,Description,Link to GloSIS,AGROVOC,CHEBI,ENVO,OTHER LINKS
Iron,Iron,Iron total,Irontot,mg/kg,Chemical,"Total iron includes all iron forms in the soil, from soluble ferrous iron (Fe²⁺) to insoluble ferric iron (Fe³⁺). Iron is essential for plant chlorophyll synthesis and various enzymatic reactions. Deficiency, often seen in alkaline soils, results in chlorosis, while excessive iron can cause toxicity in acidic soils. Source: Soil Chemistry by Bohn et al.", http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Irotot,,,,
Iron,Iron,Iron extractable,Iroext,mg/kg,Chemical,Iron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Iroext,,,,
Magnesium,Mag,Magnesium extractable,Magext,mg/kg,Chemical,Magnesium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magext,,,,
Magnesium,Mag,Magnesium total,Mgtot,mg/kg,Chemical,"Total magnesium in soil includes exchangeable, soluble, and mineral-bound forms. Magnesium is essential for chlorophyll synthesis, enzyme activation, and nutrient transport in plants. Its availability is influenced by soil pH and texture. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magtot,,,,
Magnesium,Mag,Magnesium exchangeable,Magexc,cmolc/kg,Chemical,Magnesium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magexc,,,,
Magnesium,Mag,Magnesium soluble,Magsol,mg/kg,Chemical,Soluble Magnesium cations accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magsol,,,,
Manganese,Man,Manganese total,Mantot,mg/kg,Chemical,"Total manganese refers to all forms of manganese in the soil, which is critical for photosynthesis, enzyme activation, and nitrogen metabolism in plants. Manganese deficiencies or toxicities are influenced by soil pH, with deficiencies occurring in high-pH soils and toxicities in low-pH, waterlogged soils. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Mantot,,,,
Manganese,Man,Manganese extractable,Manext,mg/kg,Chemical,Manganese bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Manext,,,,
Manganese,Man,Manganese exchangeable,Manexc,cmolc/kg,Chemical,Manganese cations adsorbed on soil colloids that are readily exchangeable with the soil solution; indicative of the pool of manganese available for exchange reactions affecting soil chemistry and plant nutrient dynamics.,https://glosis-ld.github.io/glosis/glosis_layer_horizon/index-en.html#/ManganeseExchangeableBases,,,,
Mercury,Mer,Mercury total,Mertot,mg/kg,Chemical,"Mercury is a heavy metal present in soils due to natural sources, industrial emissions, and agricultural inputs like fungicides. It exists in elemental, inorganic, and organic forms, with methylmercury being highly toxic and bioavailable. Monitoring mercury levels is crucial to prevent soil and water contamination and mitigate risks to ecosystems and human health",,,,,
Molybdenum,Mol,Molybdenum tot,Moltot,mg/kg,Chemical,"Molybdenum is a micronutrient essential for plant enzymes involved in nitrogen fixation and nitrate reduction. Deficiency, often observed in acidic soils, can lead to stunted growth and poor nitrogen utilization. Its availability increases with higher pH, making liming a common solution for molybdenum deficiencies. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Mol,,,,
Nematode,nematodes,Nematode Abundance,nemabun,n. indiv./m²,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode abundance is the total number of nematode individuals per unit area of soil, reflecting the size and activity of the soil nematode community and serving as an indicator of soil biological activity and food-web functioning.",,,,,
Nematode,nematodes,Nematode Biomass,nembiom,g/m²,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode biomass is the total mass of all nematode individuals per unit area of soil, integrating both abundance and body size, and providing an estimate of their contribution to soil organic matter turnover and ecosystem functioning",,,,,
Nematode,nematodes,Nematode Species Richness,nemrich,n. species,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode species richness is the number of distinct nematode species (or taxa, depending on taxonomic resolution) present in a soil sample or defined area, and is used as an indicator of soil biodiversity, ecological complexity, and sensitivity to land-use change and disturbance.",,,,,
Nematode,nematodes,Nematode Bacterivores species,nembact,n/100g,Biological,Number of bacterivorous nematodes,,,,,
Nematode,nematodes,Nematode Fungivores species,nemfungi,n/100g,Biological,Number of fungivorous nematodes,,,,,
Nematode,nematodes,Nematode Herbivores species,nemherbi,n/100g,Biological,Number of herbivorous nematodes,,,,,
Nematode,nematodes,Nematode Omnivores species,nemomni,n/100g,Biological,Number of omnivorous nematodes,,,,,
Nematode,nematodes,Nematode Predators species,nempred,n/100g,Biological,Number of predatory nematodes,,,,,
Nematode,nematodes,Nematode Unidentified species,nemunidentified,n/100g,Biological,Number of unidentified nematodes,,,,,
Nematode,nematodes,Total Number of nematode species,nemtot,n/100g,Biological,Total number of nematodes,,,,,
Nitrogen,Nit,Nitrogen total,Nittot,g/kg,Chemical,"Total nitrogen encompasses all nitrogen forms in soil, including organic nitrogen in humus and inorganic nitrogen such as ammonium (NH₄⁺) and nitrate (NO₃⁻). Nitrogen is essential for plant growth, being a vital component of amino acids, proteins, and chlorophyll. Total nitrogen is a key indicator of soil fertility and its capacity to sustain long-term crop productivity. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nittot,,,,
Nitrogen,Nit,Nitrite soluble,Nit2,mg/kg,Chemical,Soluble Nitrite anions accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nit2,,,,
Nitrogen,Nit,Nitrate soluble,Nit3,mg/kg,Chemical,Soluble Nitrate anions accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nit3,,,,
Organic Carbon Index,Carorgindx,Organic Carbon Density,Carorgden,kg/m³,Derived,"Organic carbon density is the amount of organic carbon per unit volume of soil, calculated from soil organic carbon concentration and bulk density. It represents the spatial distribution of organic carbon within the soil profile and is used to compare carbon storage efficiency across soils with different compaction or structure.",,,,,
Organic Carbon Index,Carorgindx,Organic Carbon Stock,Carorgstock,t/ha,Derived,"Organic carbon stock is the total mass of organic carbon stored in a defined soil layer and area, calculated by integrating organic carbon concentration, bulk density, soil depth, and coarse fragment content. It is a key indicator for climate change mitigation, carbon sequestration potential, and soil health assessment.",,,,,
Organic matter,Orgmat,,,g/kg,Biological,"Soil organic matter is composed of decomposed plant and animal residues, living soil organisms, and humus. It improves soil structure, water retention, nutrient supply, and microbial activity, making it critical for sustainable agriculture and soil health. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Orgmat,,,,
Permanent Wilting Point,PWP,,,cm³/cm³,Physical,"A concentration of liquid water in soil at or below which a plant will wilt and no longer recover its turgidity when placed in a water saturated atmosphere. The type of plant and soil are sources of variation for values of this concentration. The physical definition of the wilting point is conventionally measured as the water content at −1,500 kPa (−15 bar) of suction pressure, or negative hydraulic head.",,,,,https://casoilresource.lawr.ucdavis.edu/gmap/help/defn-kf-factor.html
pH,pH,,,pH,Chemical,"Soil pH measures the concentration of hydrogen ions (H⁺) in the soil solution, indicating its acidity or alkalinity on a scale from 1 to 14. Neutral soils have a pH of 7, while values below 7 are acidic and above are alkaline. Soil pH significantly affects nutrient availability, microbial activity, and plant growth. For instance, nutrients like phosphorus are most available in a pH range of 6 to 7. Lime or sulfur applications can adjust soil pH to optimize conditions for crops. Source: USDA Natural Resources Conservation Service (NRCS).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-pH,,,,
Phosphorous Retention,Phoret,,,mg/kg ,Derived,"Phosphorus retention measures a soil's capacity to adsorb and hold phosphorus, influenced by soil texture, pH, and mineralogy. While high retention reduces leaching, it may also limit phosphorus availability to plants. Understanding phosphorus retention helps optimize fertilization and minimize environmental impacts. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Phoret ,,,,
Phosphorus,Pho,Phosphorus extractable,Phoext,mg/kg,Chemical,Phosphorus bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Phoext,,,,
Phosphorus,Pho,Phosphorus total,Photot,mg/kg,Chemical,"Total phosphorus includes all forms of phosphorus in the soil, both organic and inorganic. While only a fraction is plant-available, total phosphorus serves as a long-term reserve for crop nutrition. Adequate phosphorus levels are crucial for energy transfer, photosynthesis, and root development in plants. Source: Soil Chemistry by Bohn et al.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Photot,,,,
Phosphorus,Pho,Dissolved Phosphorus,Phodis,mg/kg,Chemical,"Phosphorus present in the soil solution, mainly as inorganic orthophosphate (H₂PO₄⁻ and HPO₄²⁻), representing the immediately mobile and potentially bioavailable phosphorus pool.",,http://aims.fao.org/aos/agrovoc/c_7061 ,http://purl.obolibrary.org/obo/CHEBI_27573,,
Phosphorus Sorption Index,PSI,,,,Chemical,PSI is the ratio of phosphorus sorbed by the soil to the logarithm of the equilibrium phosphorus concentration in the solution after a single phosphorus addition.,,,,,
Porosity,Por,,,%v,Physical,"Porosity refers to the percentage of soil volume occupied by pores or voids, which hold air and water. It directly impacts water infiltration, drainage, and root growth. Soils with high porosity are better suited for crop cultivation, as they provide good aeration and water availability. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Por,,,,
Potassium,Pot,Potassium extractable,Potext,mg/kg,Chemical,Potassium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potext,,,,
Potassium,Pot,Potassium total,Pottot,mg/kg,Chemical,"Total potassium includes all forms of potassium in soil, such as mineral-bound, exchangeable, and water-soluble potassium. It plays a vital role in plant growth by regulating water balance, enzyme activation, and photosynthesis. While only a fraction of total potassium is readily available to plants, it serves as a reserve to replenish exchangeable potassium over time. Adequate potassium levels improve crop yield, quality, and resistance to stress. Source: Soil Science Society of America.","http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Pottot
",,,,
Potassium,Pot,Potassium exchangeable,Potexc,cmolc/kg,Chemical,Potassium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potexc,,,,
Potassium,Pot,Potassium soluble,Potsol,mg/kg,Chemical,Soluble Potassium cations accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potsol,,,http://purl.obolibrary.org/obo/ENVO_1000745,https://www.sciencedirect.com/science/article/pii/S122679882405267X 
Root Zone,Rootzon,,,cm,Biological,"The root zone is the region of soil influenced by the presence and activity of plant roots. Root zone depth is the vertical extent of this soil region, measured from the soil surface to the maximum effective rooting depth of the vegetation.",,,,,https://casoilresource.lawr.ucdavis.edu/gmap/help/defn-wind-erodibility.html
Sand Fraction,SandFractionTexture,,,%w,Physical,"Sand fraction texture describes the proportion of different sand particle sizes (very fine to coarse) within the soil, influencing soil texture and structure. Source: FAO (2006). Guidelines for Soil Description.",http://w3id.org/glosis/model/layerhorizon/SandFractionTexture,,,,
Silicium,Si,Silicium,Si,mg/kg,Chemical,,,,,,
Silt Fraction,SiltFractionTexture,,,%w,Physical,"Silt fraction texture describes the relative proportion of silt particles in the soil. Silt contributes to soil fertility and moisture retention but is prone to erosion. Source: Brady, N.C., & Weil, R.R. (2008). The Nature and Properties of Soils.",http://w3id.org/glosis/model/layerhorizon/SiltFractionTexture,,,,
Sodium,Sod,Sodium extractable,Sodext,mg/kg,Chemical,Sodium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodext,,,,
Sodium,Sod,Sodium total,Sodtot,mg/kg,Chemical,"Total sodium includes all sodium present in soil, both soluble and bound. Excess sodium can lead to sodicity, which disrupts soil structure, reduces permeability, and impairs plant growth. Monitoring sodium levels is crucial for managing soil salinity in arid and irrigated regions. Source: Bohn, H.L., et al. (2001). Soil Chemistry.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodtot,"
http://aims.fao.org/aos/agrovoc/c_818602de ",,,
Sodium,Sod,Sodium exchangeable,Sodexp,cmolc/kg,Chemical,Sodium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodexp,,,,
Sodium,Sod,Sodium soluble,Sodsol,mg/kg,Chemical,Soluble Sodium cations accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodsol,,,,
Sodium Adsorption Ratio,SAR,,,,Derived,"The Sodium Adsorption Ratio (SAR) is an index that expresses the relative proportion of sodium ions (Na⁺) to calcium (Ca²⁺) and magnesium (Mg²⁺) ions in the soil solution or irrigation water. It is calculated from the concentrations of these cations and is used to assess the risk of sodium-induced soil structural degradation. High SAR values indicate a greater likelihood of soil dispersion, reduced infiltration, and impaired soil physical properties.",,,,,
Soil Erodibility Factor,Kwfact,,,t ha h,Derived,"Soil erodibility factors (Kw) and (Kf) quantify soil detachment by runoff and raindrop impact. These erodibility factors are indexes used to predict the long-term average soil loss from sheet and rill erosion under crop systems and conservation techniques. Factor Kw applies to the whole soil and is used in the erosion prediction equations USLE and RUSLE. Soil properties that influence rainfall erosion are those that affect:
Infiltration rate, movement of water through the soil, and water storage capacity.
Dispersion, detachability, abrasion, and mobility by rainfall and runoff. Some of the most important properties are texture, organic matter content, structure size class, and the saturated hydraulic conductivity of the subsoil.
Source: U.S. Department of Agriculture, Natural Resources Conservation Service. National soil survey handbook, title 430-VI. Available online. Accessed 9/13/2012.",,,,,
Soil Moisture Content,moist,,,%,Physical,"The Moisture Content Property measures the amount of water present in soil, expressed as a percentage of its dry weight. This property is critical for assessing soil water retention, irrigation needs, and plant-available water. Source: Hillel, D. (2004). Introduction to Environmental Soil Physics.",http://w3id.org/glosis/model/layerhorizon/moistureContentProperty,,,,
Sulfur,Sul,Sulfur extractable,Sulext,mg/kg,Chemical,Sulfur bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sulext,,,http://purl.obolibrary.org/obo/ENVO_06105303,
Sulfur,Sul,Sulfur total,Sultot,mg/kg,Chemical,"Total sulfur in soil includes both organic and inorganic forms, such as sulfates and sulfur in organic matter. Sulfur is essential for protein synthesis and enzyme functions in plants. Deficiency leads to stunted growth and yellowing of leaves. Total sulfur provides insight into the soil's potential to release plant-available sulfur over time, critical for sustaining crop health. Source: Havlin, J.L., et al. (2014). Soil Fertility and Fertilizers.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sultot,,,,
Textural Class,TextClass,USDA Texture,usda_texture,Classification,Derived,"USDA textural class is a soil classification based on the relative proportions of sand, silt, and clay in the fine earth fraction. It assigns soils to standardized texture classes according to the USDA soil texture triangle and is used to characterise soil physical behaviour, including water retention, aeration, and workability. The textural classes are encoded as follows: 1 = Clay, 2 = Silty Clay, 3 = Sandy Clay, 4 = Clay Loam, 5 = Silty Clay Loam, 6 = Sandy Clay Loam, 7 = Loam, 8 = Silty Loam, 9 = Sandy Loam, 10 = Silt, 11 = Loamy Sand, 12 = Sand",,,,,
Water Retention ,WR,Water Retention Gravimetric,WRG,%w,Physical,"Gravimetric water retention refers to the amount of water held by the soil measured by weight, often expressed in terms of mass per unit mass of soil. It is a fundamental method for assessing soil moisture content and can be determined at various suction pressures like 33 kPa or 1500 kPa. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG,http://aims.fao.org/aos/agrovoc/c_35320 ,,http://purl.obolibrary.org/obo/ENVO_09200004,
Water Retention ,WR,Water Retention Volumetric,WRV,%v,Physical,"Volumetric water retention refers to the amount of water retained in the soil, expressed as a volume per unit volume of soil. This measure is crucial for understanding the soil's ability to retain and supply water to plants, and it is often assessed at different matric potentials, such as 33 kPa or 1500 kPa, depending on the context. Source: Soil Science Society of America",http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV,,,,
Wind Erodibility Index,WEI,,,t/ha/yr ,Derived,"A wind erodibility group (WEG) is a grouping of soils that have similar properties affecting their resistance to soil blowing in cultivated areas. The groups indicate the susceptibility to blowing. The wind erodibility index (I), used in the wind erosion equation, is assigned using the wind erodibility groups.

There is a close correlation between soil blowing and the size and durability of surface clodiness, fragments, organic matter, and the calcareous reaction. The soil properties that are most important with respect to soil blowing are listed below. Soil moisture and the presence of frozen soil also influence soil blowing.

Soil texture class
Organic matter content
Carbonates in the fine-earth fraction as determined by effervescence class
Rock and pararock fragment content
Mineralogy
Soils are placed into wind erodibility groups on the basis of the properties of the soil surface layer. Subpart B, Exhibits, Section 618.95 lists the wind erodibility index assigned to the wind erodibility groups. The wind erodibility index values are assigned because the dry soil aggregates are very use-dependent on crop management factors.

Source: U.S. Department of Agriculture, Natural Resources Conservation Service. National soil survey handbook, title 430-VI. Available online. Accessed 2/25/2014.",,,,,
Zinc,Zin,Zinc extractable,Zinext,mg/kg,Chemical,Zinc bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Zinext,,,,
Zinc,Zin,Zinc total,zintotal,mg/kg,Chemical,"Zinc is a micronutrient essential for plant enzyme systems, protein synthesis, and growth regulation. Deficiency is common in calcareous soils and results in stunted growth and chlorosis. Zinc fertilizers or soil pH adjustments can address deficiencies. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Zin,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
